name,time,Power
slave1_ctn_03,1493164819000000000,31
slave1_ctn_03,1493164862000000000,31
slave1_ctn_03,1493164904000000000,31
slave1_ctn_03,1493164946000000000,31
slave1_ctn_03,1493164989000000000,33
slave1_ctn_03,1493165030000000000,31
slave1_ctn_03,1493165073000000000,31
slave1_ctn_03,1493165115000000000,31
slave1_ctn_03,1493165157000000000,31
slave1_ctn_03,1493165200000000000,31
slave1_ctn_03,1493165241000000000,31
slave1_ctn_03,1493165284000000000,31
slave1_ctn_03,1493165326000000000,31
slave1_ctn_03,1493165368000000000,31
slave1_ctn_03,1493165411000000000,31
slave1_ctn_03,1493165453000000000,31
slave1_ctn_03,1493165495000000000,31
slave1_ctn_03,1493165537000000000,31
slave1_ctn_03,1493165579000000000,31
slave1_ctn_03,1493165621000000000,31
slave1_ctn_03,1493165664000000000,31
slave1_ctn_03,1493165706000000000,31
slave1_ctn_03,1493165748000000000,30
slave1_ctn_03,1493165790000000000,31
slave1_ctn_03,1493165832000000000,31
slave1_ctn_03,1493165875000000000,31
slave1_ctn_03,1493165916000000000,31
slave1_ctn_03,1493165959000000000,31
slave1_ctn_03,1493166002000000000,30
slave1_ctn_03,1493166043000000000,31
slave1_ctn_03,1493166086000000000,31
slave1_ctn_03,1493166127000000000,31
slave1_ctn_03,1493166170000000000,31
slave1_ctn_03,1493166213000000000,31
slave1_ctn_03,1493166254000000000,31
slave1_ctn_03,1493166297000000000,31
slave1_ctn_03,1493166339000000000,31
slave1_ctn_03,1493166381000000000,31
slave1_ctn_03,1493166423000000000,31
slave1_ctn_03,1493166465000000000,31
slave1_ctn_03,1493166508000000000,31
slave1_ctn_03,1493166550000000000,31
slave1_ctn_03,1493166592000000000,31
slave1_ctn_03,1493166634000000000,31
slave1_ctn_03,1493166676000000000,31
slave1_ctn_03,1493166719000000000,33
slave1_ctn_03,1493166761000000000,31
slave1_ctn_03,1493166803000000000,33
slave1_ctn_03,1493166845000000000,31
slave1_ctn_03,1493166888000000000,31
slave1_ctn_03,1493166930000000000,31
slave1_ctn_03,1493166972000000000,33
slave1_ctn_03,1493167014000000000,31
slave1_ctn_03,1493167056000000000,31
slave1_ctn_03,1493167099000000000,31
slave1_ctn_03,1493167140000000000,31
slave1_ctn_03,1493167183000000000,31
slave1_ctn_03,1493167226000000000,31
slave1_ctn_03,1493167267000000000,31
slave1_ctn_03,1493167310000000000,31
slave1_ctn_03,1493167351000000000,31
slave1_ctn_03,1493167394000000000,31
slave1_ctn_03,1493167437000000000,31
slave1_ctn_03,1493167478000000000,31
slave1_ctn_03,1493167521000000000,31
slave1_ctn_03,1493167563000000000,31
slave1_ctn_03,1493167605000000000,31
slave1_ctn_03,1493167647000000000,31
slave1_ctn_03,1493167689000000000,31
slave1_ctn_03,1493167732000000000,31
slave1_ctn_03,1493167774000000000,31
slave1_ctn_03,1493167816000000000,31
slave1_ctn_03,1493167858000000000,31
slave1_ctn_03,1493167900000000000,31
slave1_ctn_03,1493167942000000000,31
slave1_ctn_03,1493167985000000000,30
slave1_ctn_03,1493168027000000000,31
slave1_ctn_03,1493168069000000000,31
slave1_ctn_03,1493168112000000000,31
slave1_ctn_03,1493168153000000000,31
slave1_ctn_03,1493168196000000000,31
slave1_ctn_03,1493168238000000000,31
slave1_ctn_03,1493168280000000000,31
slave1_ctn_03,1493168323000000000,31
slave1_ctn_03,1493168364000000000,31
slave1_ctn_03,1493168407000000000,31
slave1_ctn_03,1493168449000000000,31
slave1_ctn_03,1493168491000000000,31
slave1_ctn_03,1493168534000000000,31
slave1_ctn_03,1493168575000000000,31
slave1_ctn_03,1493168618000000000,31
slave1_ctn_03,1493168660000000000,31
slave1_ctn_03,1493168702000000000,31
slave1_ctn_03,1493168745000000000,31
slave1_ctn_03,1493168787000000000,31
slave1_ctn_03,1493168829000000000,31
slave1_ctn_03,1493168871000000000,31
slave1_ctn_03,1493168913000000000,30
slave1_ctn_03,1493168955000000000,31
slave1_ctn_03,1493168998000000000,30
slave1_ctn_03,1493169040000000000,31
slave1_ctn_03,1493169082000000000,31
slave1_ctn_03,1493169124000000000,31
slave1_ctn_03,1493169166000000000,31
slave1_ctn_03,1493169209000000000,31
slave1_ctn_03,1493169251000000000,30
slave1_ctn_03,1493169293000000000,31
slave1_ctn_03,1493169336000000000,31
slave1_ctn_03,1493169377000000000,30
slave1_ctn_03,1493169420000000000,31
slave1_ctn_03,1493169461000000000,31
slave1_ctn_03,1493169504000000000,31
slave1_ctn_03,1493169547000000000,31
slave1_ctn_03,1493169588000000000,31
slave1_ctn_03,1493169631000000000,31
slave1_ctn_03,1493169673000000000,31
slave1_ctn_03,1493169715000000000,31
slave1_ctn_03,1493169758000000000,31
slave1_ctn_03,1493169799000000000,30
slave1_ctn_03,1493169842000000000,31
slave1_ctn_03,1493169884000000000,31
slave1_ctn_03,1493169926000000000,31
slave1_ctn_03,1493169968000000000,31
slave1_ctn_03,1493170011000000000,30
slave1_ctn_03,1493170053000000000,30
slave1_ctn_03,1493170095000000000,30
slave1_ctn_03,1493170137000000000,31
slave1_ctn_03,1493170179000000000,31
slave1_ctn_03,1493170222000000000,31
slave1_ctn_03,1493170264000000000,31
slave1_ctn_03,1493170306000000000,31
slave1_ctn_03,1493170348000000000,31
slave1_ctn_03,1493170390000000000,30
slave1_ctn_03,1493170433000000000,30
slave1_ctn_03,1493170474000000000,31
slave1_ctn_03,1493170517000000000,31
slave1_ctn_03,1493170560000000000,31
slave1_ctn_03,1493170601000000000,31
slave1_ctn_03,1493170644000000000,30
slave1_ctn_03,1493170685000000000,31
slave1_ctn_03,1493170728000000000,30
slave1_ctn_03,1493170771000000000,31
