name,time,Power
slave1_ctn_06,1493164822000000000,-1
slave1_ctn_06,1493164865000000000,-1
slave1_ctn_06,1493164907000000000,-1
slave1_ctn_06,1493164949000000000,-3
slave1_ctn_06,1493164992000000000,-3
slave1_ctn_06,1493165033000000000,-1
slave1_ctn_06,1493165076000000000,-1
slave1_ctn_06,1493165118000000000,-3
slave1_ctn_06,1493165160000000000,-1
slave1_ctn_06,1493165203000000000,-3
slave1_ctn_06,1493165244000000000,-3
slave1_ctn_06,1493165287000000000,-3
slave1_ctn_06,1493165329000000000,-3
slave1_ctn_06,1493165371000000000,-1
slave1_ctn_06,1493165414000000000,-1
slave1_ctn_06,1493165456000000000,-1
slave1_ctn_06,1493165498000000000,-1
slave1_ctn_06,1493165540000000000,-3
slave1_ctn_06,1493165582000000000,-1
slave1_ctn_06,1493165624000000000,-3
slave1_ctn_06,1493165667000000000,-1
slave1_ctn_06,1493165709000000000,-3
slave1_ctn_06,1493165751000000000,-1
slave1_ctn_06,1493165794000000000,-3
slave1_ctn_06,1493165835000000000,-1
slave1_ctn_06,1493165878000000000,-1
slave1_ctn_06,1493165920000000000,-1
slave1_ctn_06,1493165962000000000,-1
slave1_ctn_06,1493166005000000000,-3
slave1_ctn_06,1493166046000000000,-1
slave1_ctn_06,1493166089000000000,-1
slave1_ctn_06,1493166130000000000,-1
slave1_ctn_06,1493166173000000000,-1
slave1_ctn_06,1493166216000000000,-1
slave1_ctn_06,1493166257000000000,-1
slave1_ctn_06,1493166300000000000,-1
slave1_ctn_06,1493166342000000000,-1
slave1_ctn_06,1493166384000000000,-1
slave1_ctn_06,1493166427000000000,-1
slave1_ctn_06,1493166468000000000,-3
slave1_ctn_06,1493166511000000000,-1
slave1_ctn_06,1493166553000000000,-1
slave1_ctn_06,1493166595000000000,-1
slave1_ctn_06,1493166637000000000,-1
slave1_ctn_06,1493166679000000000,-1
slave1_ctn_06,1493166722000000000,-1
slave1_ctn_06,1493166764000000000,-3
slave1_ctn_06,1493166806000000000,-1
slave1_ctn_06,1493166848000000000,-1
slave1_ctn_06,1493166891000000000,-1
slave1_ctn_06,1493166933000000000,-1
slave1_ctn_06,1493166975000000000,-1
slave1_ctn_06,1493167017000000000,-1
slave1_ctn_06,1493167059000000000,-1
slave1_ctn_06,1493167102000000000,-1
slave1_ctn_06,1493167143000000000,-1
slave1_ctn_06,1493167186000000000,-1
slave1_ctn_06,1493167229000000000,-3
slave1_ctn_06,1493167270000000000,-1
slave1_ctn_06,1493167313000000000,-3
slave1_ctn_06,1493167354000000000,-1
slave1_ctn_06,1493167397000000000,-3
slave1_ctn_06,1493167440000000000,-3
slave1_ctn_06,1493167481000000000,-1
slave1_ctn_06,1493167524000000000,-1
slave1_ctn_06,1493167566000000000,-3
slave1_ctn_06,1493167608000000000,-3
slave1_ctn_06,1493167650000000000,-1
slave1_ctn_06,1493167692000000000,-1
slave1_ctn_06,1493167735000000000,-3
slave1_ctn_06,1493167777000000000,-1
slave1_ctn_06,1493167819000000000,-1
slave1_ctn_06,1493167861000000000,-3
slave1_ctn_06,1493167904000000000,-1
slave1_ctn_06,1493167946000000000,-1
slave1_ctn_06,1493167988000000000,-1
slave1_ctn_06,1493168030000000000,-1
slave1_ctn_06,1493168072000000000,-1
slave1_ctn_06,1493168115000000000,-1
slave1_ctn_06,1493168156000000000,-1
slave1_ctn_06,1493168199000000000,-1
slave1_ctn_06,1493168241000000000,-1
slave1_ctn_06,1493168283000000000,-1
slave1_ctn_06,1493168326000000000,-1
slave1_ctn_06,1493168367000000000,-1
slave1_ctn_06,1493168410000000000,-1
slave1_ctn_06,1493168453000000000,-1
slave1_ctn_06,1493168494000000000,-1
slave1_ctn_06,1493168537000000000,-3
slave1_ctn_06,1493168578000000000,-1
slave1_ctn_06,1493168621000000000,-1
slave1_ctn_06,1493168663000000000,-3
slave1_ctn_06,1493168705000000000,-3
slave1_ctn_06,1493168748000000000,-1
slave1_ctn_06,1493168790000000000,-1
slave1_ctn_06,1493168832000000000,-1
slave1_ctn_06,1493168874000000000,-1
slave1_ctn_06,1493168916000000000,-1
slave1_ctn_06,1493168959000000000,-1
slave1_ctn_06,1493169001000000000,-1
slave1_ctn_06,1493169043000000000,-1
slave1_ctn_06,1493169085000000000,-1
slave1_ctn_06,1493169128000000000,-1
slave1_ctn_06,1493169169000000000,-1
slave1_ctn_06,1493169212000000000,-3
slave1_ctn_06,1493169254000000000,-3
slave1_ctn_06,1493169296000000000,-1
slave1_ctn_06,1493169339000000000,-1
slave1_ctn_06,1493169380000000000,-1
slave1_ctn_06,1493169423000000000,-1
slave1_ctn_06,1493169465000000000,-1
slave1_ctn_06,1493169507000000000,-1
slave1_ctn_06,1493169550000000000,-3
slave1_ctn_06,1493169591000000000,-3
slave1_ctn_06,1493169634000000000,-1
slave1_ctn_06,1493169676000000000,-1
slave1_ctn_06,1493169718000000000,-1
slave1_ctn_06,1493169761000000000,-3
slave1_ctn_06,1493169802000000000,-3
slave1_ctn_06,1493169845000000000,-1
slave1_ctn_06,1493169887000000000,-1
slave1_ctn_06,1493169929000000000,-3
slave1_ctn_06,1493169972000000000,-1
slave1_ctn_06,1493170014000000000,-1
slave1_ctn_06,1493170056000000000,-1
slave1_ctn_06,1493170098000000000,-1
slave1_ctn_06,1493170140000000000,-1
