name,time,Power
slave1_ctn_05,1493164821000000000,-89
slave1_ctn_05,1493164864000000000,-89
slave1_ctn_05,1493164906000000000,-89
slave1_ctn_05,1493164948000000000,-89
slave1_ctn_05,1493164991000000000,-89
slave1_ctn_05,1493165032000000000,-87
slave1_ctn_05,1493165075000000000,-89
slave1_ctn_05,1493165117000000000,-87
slave1_ctn_05,1493165159000000000,-89
slave1_ctn_05,1493165202000000000,-87
slave1_ctn_05,1493165243000000000,-87
slave1_ctn_05,1493165286000000000,-87
slave1_ctn_05,1493165328000000000,-87
slave1_ctn_05,1493165370000000000,-87
slave1_ctn_05,1493165413000000000,-87
slave1_ctn_05,1493165455000000000,-89
slave1_ctn_05,1493165497000000000,-87
slave1_ctn_05,1493165539000000000,-87
slave1_ctn_05,1493165581000000000,-87
slave1_ctn_05,1493165623000000000,-87
slave1_ctn_05,1493165666000000000,-87
slave1_ctn_05,1493165708000000000,-89
slave1_ctn_05,1493165750000000000,-87
slave1_ctn_05,1493165793000000000,-89
slave1_ctn_05,1493165834000000000,-87
slave1_ctn_05,1493165877000000000,-87
slave1_ctn_05,1493165919000000000,-87
slave1_ctn_05,1493165961000000000,-87
slave1_ctn_05,1493166004000000000,-87
slave1_ctn_05,1493166045000000000,-87
slave1_ctn_05,1493166088000000000,-87
slave1_ctn_05,1493166129000000000,-87
slave1_ctn_05,1493166172000000000,-87
slave1_ctn_05,1493166215000000000,-89
slave1_ctn_05,1493166256000000000,-87
slave1_ctn_05,1493166299000000000,-87
slave1_ctn_05,1493166341000000000,-87
slave1_ctn_05,1493166383000000000,-89
slave1_ctn_05,1493166426000000000,-89
slave1_ctn_05,1493166467000000000,-89
slave1_ctn_05,1493166510000000000,-87
slave1_ctn_05,1493166552000000000,-87
slave1_ctn_05,1493166594000000000,-89
slave1_ctn_05,1493166636000000000,-89
slave1_ctn_05,1493166679000000000,-89
slave1_ctn_05,1493166721000000000,-87
slave1_ctn_05,1493166763000000000,-89
slave1_ctn_05,1493166805000000000,-89
slave1_ctn_05,1493166847000000000,-89
slave1_ctn_05,1493166890000000000,-89
slave1_ctn_05,1493166932000000000,-89
slave1_ctn_05,1493166974000000000,-87
slave1_ctn_05,1493167016000000000,-87
slave1_ctn_05,1493167058000000000,-87
slave1_ctn_05,1493167101000000000,-87
slave1_ctn_05,1493167142000000000,-89
slave1_ctn_05,1493167185000000000,-87
slave1_ctn_05,1493167228000000000,-89
slave1_ctn_05,1493167269000000000,-89
slave1_ctn_05,1493167312000000000,-89
slave1_ctn_05,1493167353000000000,-87
slave1_ctn_05,1493167396000000000,-87
slave1_ctn_05,1493167439000000000,-87
slave1_ctn_05,1493167480000000000,-89
slave1_ctn_05,1493167523000000000,-87
slave1_ctn_05,1493167565000000000,-87
slave1_ctn_05,1493167607000000000,-87
slave1_ctn_05,1493167649000000000,-87
slave1_ctn_05,1493167691000000000,-87
slave1_ctn_05,1493167734000000000,-87
slave1_ctn_05,1493167776000000000,-87
slave1_ctn_05,1493167818000000000,-87
slave1_ctn_05,1493167860000000000,-87
slave1_ctn_05,1493167902000000000,-89
slave1_ctn_05,1493167945000000000,-87
slave1_ctn_05,1493167987000000000,-87
slave1_ctn_05,1493168029000000000,-89
slave1_ctn_05,1493168071000000000,-87
slave1_ctn_05,1493168114000000000,-89
slave1_ctn_05,1493168155000000000,-87
slave1_ctn_05,1493168198000000000,-87
slave1_ctn_05,1493168240000000000,-89
slave1_ctn_05,1493168282000000000,-87
slave1_ctn_05,1493168325000000000,-89
slave1_ctn_05,1493168366000000000,-87
slave1_ctn_05,1493168409000000000,-87
slave1_ctn_05,1493168452000000000,-87
slave1_ctn_05,1493168493000000000,-87
slave1_ctn_05,1493168536000000000,-85
slave1_ctn_05,1493168577000000000,-85
slave1_ctn_05,1493168620000000000,-87
slave1_ctn_05,1493168662000000000,-87
slave1_ctn_05,1493168704000000000,-85
slave1_ctn_05,1493168747000000000,-87
slave1_ctn_05,1493168789000000000,-87
slave1_ctn_05,1493168831000000000,-87
slave1_ctn_05,1493168873000000000,-87
slave1_ctn_05,1493168915000000000,-87
slave1_ctn_05,1493168958000000000,-87
slave1_ctn_05,1493169000000000000,-85
slave1_ctn_05,1493169042000000000,-87
slave1_ctn_05,1493169084000000000,-87
slave1_ctn_05,1493169127000000000,-87
slave1_ctn_05,1493169168000000000,-87
slave1_ctn_05,1493169211000000000,-87
slave1_ctn_05,1493169253000000000,-85
slave1_ctn_05,1493169295000000000,-85
slave1_ctn_05,1493169338000000000,-87
slave1_ctn_05,1493169379000000000,-87
slave1_ctn_05,1493169422000000000,-87
slave1_ctn_05,1493169463000000000,-87
slave1_ctn_05,1493169506000000000,-87
slave1_ctn_05,1493169549000000000,-85
slave1_ctn_05,1493169590000000000,-87
slave1_ctn_05,1493169633000000000,-87
slave1_ctn_05,1493169675000000000,-87
slave1_ctn_05,1493169717000000000,-87
slave1_ctn_05,1493169760000000000,-85
slave1_ctn_05,1493169801000000000,-87
slave1_ctn_05,1493169844000000000,-87
slave1_ctn_05,1493169886000000000,-87
slave1_ctn_05,1493169928000000000,-87
slave1_ctn_05,1493169970000000000,-87
slave1_ctn_05,1493170013000000000,-85
slave1_ctn_05,1493170055000000000,-87
slave1_ctn_05,1493170097000000000,-85
slave1_ctn_05,1493170139000000000,-85
slave1_ctn_05,1493170181000000000,-87
slave1_ctn_05,1493170224000000000,-87
slave1_ctn_05,1493170266000000000,-87
slave1_ctn_05,1493170308000000000,-87
slave1_ctn_05,1493170350000000000,-85
slave1_ctn_05,1493170392000000000,-85
slave1_ctn_05,1493170435000000000,-87
slave1_ctn_05,1493170476000000000,-85
slave1_ctn_05,1493170519000000000,-87
slave1_ctn_05,1493170562000000000,-87
slave1_ctn_05,1493170603000000000,-85
slave1_ctn_05,1493170646000000000,-87
slave1_ctn_05,1493170687000000000,-87
slave1_ctn_05,1493170730000000000,-85
slave1_ctn_05,1493170773000000000,-87
slave1_ctn_05,1493170814000000000,-87
slave1_ctn_05,1493170857000000000,-85
slave1_ctn_05,1493170899000000000,-87
slave1_ctn_05,1493170941000000000,-85
slave1_ctn_05,1493170983000000000,-85
slave1_ctn_05,1493171025000000000,-85
slave1_ctn_05,1493171068000000000,-85
slave1_ctn_05,1493171110000000000,-85
slave1_ctn_05,1493171152000000000,-85
slave1_ctn_05,1493171194000000000,-85
slave1_ctn_05,1493171236000000000,-87
slave1_ctn_05,1493171279000000000,-85
slave1_ctn_05,1493171321000000000,-87
slave1_ctn_05,1493171363000000000,-85
slave1_ctn_05,1493171405000000000,-87
slave1_ctn_05,1493171448000000000,-85
slave1_ctn_05,1493171489000000000,-87
slave1_ctn_05,1493171532000000000,-85
slave1_ctn_05,1493171574000000000,-85
slave1_ctn_05,1493171616000000000,-87
slave1_ctn_05,1493171659000000000,-87
slave1_ctn_05,1493171700000000000,-85
slave1_ctn_05,1493171743000000000,-85
slave1_ctn_05,1493171786000000000,-85
slave1_ctn_05,1493171827000000000,-87
slave1_ctn_05,1493171870000000000,-87
slave1_ctn_05,1493171911000000000,-85
slave1_ctn_05,1493171954000000000,-87
slave1_ctn_05,1493171996000000000,-85
slave1_ctn_05,1493172038000000000,-87
slave1_ctn_05,1493172081000000000,-87
slave1_ctn_05,1493172123000000000,-87
slave1_ctn_05,1493172165000000000,-85
slave1_ctn_05,1493172207000000000,-85
slave1_ctn_05,1493172249000000000,-87
slave1_ctn_05,1493172292000000000,-85
slave1_ctn_05,1493172334000000000,-85
slave1_ctn_05,1493172376000000000,-85
slave1_ctn_05,1493172418000000000,-85
slave1_ctn_05,1493172460000000000,-87
slave1_ctn_05,1493172502000000000,-87
slave1_ctn_05,1493172545000000000,-85
slave1_ctn_05,1493172587000000000,-85
slave1_ctn_05,1493172629000000000,-87
slave1_ctn_05,1493172672000000000,-87
slave1_ctn_05,1493172713000000000,-87
slave1_ctn_05,1493172756000000000,-85
slave1_ctn_05,1493172798000000000,-87
slave1_ctn_05,1493172840000000000,-87
slave1_ctn_05,1493172883000000000,-85
slave1_ctn_05,1493172924000000000,-87
slave1_ctn_05,1493172967000000000,-87
slave1_ctn_05,1493173009000000000,-87
slave1_ctn_05,1493173051000000000,-85
slave1_ctn_05,1493173094000000000,-87
slave1_ctn_05,1493173135000000000,-87
slave1_ctn_05,1493173178000000000,-87
slave1_ctn_05,1493173220000000000,-87
slave1_ctn_05,1493173262000000000,-87
slave1_ctn_05,1493173305000000000,-85
slave1_ctn_05,1493173346000000000,-87
slave1_ctn_05,1493173389000000000,-87
slave1_ctn_05,1493173431000000000,-85
slave1_ctn_05,1493173473000000000,-87
slave1_ctn_05,1493173515000000000,-87
slave1_ctn_05,1493173558000000000,-85
slave1_ctn_05,1493173600000000000,-85
slave1_ctn_05,1493173642000000000,-87
slave1_ctn_05,1493173684000000000,-85
slave1_ctn_05,1493173726000000000,-85
slave1_ctn_05,1493173769000000000,-87
slave1_ctn_05,1493173811000000000,-87
slave1_ctn_05,1493173853000000000,-85
slave1_ctn_05,1493173896000000000,-87
slave1_ctn_05,1493173937000000000,-87
slave1_ctn_05,1493173980000000000,-87
slave1_ctn_05,1493174021000000000,-87
slave1_ctn_05,1493174064000000000,-87
slave1_ctn_05,1493174107000000000,-85
slave1_ctn_05,1493174148000000000,-87
slave1_ctn_05,1493174191000000000,-87
slave1_ctn_05,1493174233000000000,-87
slave1_ctn_05,1493174275000000000,-87
slave1_ctn_05,1493174318000000000,-87
slave1_ctn_05,1493174359000000000,-87
slave1_ctn_05,1493174402000000000,-85
slave1_ctn_05,1493174444000000000,-87
slave1_ctn_05,1493174486000000000,-87
slave1_ctn_05,1493174528000000000,-87
slave1_ctn_05,1493174570000000000,-87
slave1_ctn_05,1493174613000000000,-87
slave1_ctn_05,1493174655000000000,-87
slave1_ctn_05,1493174697000000000,-85
slave1_ctn_05,1493174739000000000,-87
slave1_ctn_05,1493174782000000000,-85
slave1_ctn_05,1493174824000000000,-87
slave1_ctn_05,1493174866000000000,-87
slave1_ctn_05,1493174908000000000,-87
slave1_ctn_05,1493174950000000000,-85
slave1_ctn_05,1493174993000000000,-87
slave1_ctn_05,1493175034000000000,-87
slave1_ctn_05,1493175077000000000,-87
slave1_ctn_05,1493175120000000000,-87
slave1_ctn_05,1493175161000000000,-85
slave1_ctn_05,1493175204000000000,-87
slave1_ctn_05,1493175245000000000,-87
slave1_ctn_05,1493175288000000000,-87
slave1_ctn_05,1493175331000000000,-85
slave1_ctn_05,1493175372000000000,-87
slave1_ctn_05,1493175415000000000,-85
slave1_ctn_05,1493175457000000000,-87
slave1_ctn_05,1493175499000000000,-87
slave1_ctn_05,1493175541000000000,-87
slave1_ctn_05,1493175583000000000,-85
slave1_ctn_05,1493175626000000000,-85
slave1_ctn_05,1493175668000000000,-87
slave1_ctn_05,1493175710000000000,-87
slave1_ctn_05,1493175752000000000,-85
slave1_ctn_05,1493175794000000000,-87
slave1_ctn_05,1493175837000000000,-87
slave1_ctn_05,1493175879000000000,-87
slave1_ctn_05,1493175921000000000,-85
slave1_ctn_05,1493175963000000000,-87
slave1_ctn_05,1493176006000000000,-87
slave1_ctn_05,1493176047000000000,-87
slave1_ctn_05,1493176090000000000,-87
slave1_ctn_05,1493176132000000000,-85
slave1_ctn_05,1493176174000000000,-87
slave1_ctn_05,1493176217000000000,-87
slave1_ctn_05,1493176258000000000,-85
